deckId,medalId,keepPriority,mulliganPriority,desiredEarlyCount,comboGroup,corePiece,earlyRole,earlyPlan
HolyKnight,T17,30,0,2,forge,true,enabler,forge
HolyKnight,T18,28,0,1,forge,true,payoff,forge
HolyKnight,T19,26,0,1,lock,false,curve,forge
HolyKnight,T20,22,0,1,lock,true,payoff,forge
HolyKnight,T21,30,0,1,lock,true,enabler,forge
HolyKnight,T22,18,0,1,lock,false,payoff,forge
HolyKnight,T23,16,4,1,,false,generic,forge
HolyKnight,CMD08,20,0,1,forge,false,enabler,forge
HolyKnight,CMD09,8,6,0,,false,generic,forge
HolyKnight,LT4,38,0,0,forge,true,payoff,forge
Guardian,T24,40,0,1,poly,true,enabler,poly
Guardian,W21,26,0,1,poly,false,enabler,poly
Guardian,W22,24,0,1,poly,false,enabler,poly
Guardian,T25,22,0,1,poly,false,enabler,poly
Guardian,T19,20,0,1,,false,curve,poly
Guardian,T21,14,2,0,,false,generic,poly
Guardian,T20,12,4,0,,false,generic,poly
Guardian,T22,10,4,0,,false,generic,poly
Guardian,LT5,24,0,0,poly,false,payoff,poly
Guardian,LT6,22,0,0,poly,false,payoff,poly
Guardian,LT7,22,0,0,poly,false,payoff,poly
Guardian,LT8,30,0,0,poly,true,payoff,poly
Priest,T03,44,0,2,heal,true,curve,curve
Priest,T08,30,0,1,heal,true,enabler,curve
Priest,T11,32,0,1,zero,true,enabler,curve
Priest,T12,26,6,1,heal,true,payoff,curve
Priest,T15,20,16,1,heal,false,payoff,curve
Priest,W03,34,0,2,heal,false,curve,curve
Priest,W08,32,0,1,heal,false,curve,curve
Priest,LT3,38,0,0,curve,true,payoff,curve
Priest,W01,22,0,1,,false,curve,curve
Priest,W02,20,0,1,,false,curve,curve
Forge,A01,36,0,1,forge,true,payoff,forge
Forge,A02,24,8,1,forge,false,payoff,forge
Forge,A03,38,0,2,forge,true,curve,forge
Forge,A04,32,0,1,forge,true,enabler,forge
Forge,A05,34,0,1,forge,true,payoff,forge
Forge,W06,30,0,1,forge,true,enabler,forge
Forge,W01,20,0,1,,false,curve,forge
Forge,LA1,38,0,0,forge,true,payoff,forge
Forge,W02,20,0,1,,false,curve,forge
Factory,A06,40,0,2,move,true,enabler,move
Factory,A07,44,0,2,move,true,enabler,move
Factory,A08,42,0,2,move,true,enabler,move
Factory,A09,42,0,2,move,true,enabler,move
Factory,A10,34,0,1,move,true,payoff,move
Factory,A11,32,0,1,move,true,payoff,move
Factory,W02,18,0,1,,false,curve,move
Factory,LA2,38,0,0,move,true,payoff,move
Factory,W01,22,0,1,,false,curve,move
Math,A12,44,0,2,formula,true,curve,formula
Math,A13,34,0,1,formula,true,enabler,formula
Math,A14,36,0,1,formula,true,payoff,formula
Math,A15,34,0,1,formula,true,payoff,formula
Math,W19,20,4,1,,false,curve,formula
Math,W20,24,6,1,,false,generic,formula
Math,W04,28,0,1,,false,curve,formula
Math,LA3,38,0,0,formula,true,payoff,formula
Math,W01,22,0,1,,false,curve,formula
Math,W02,20,0,1,,false,curve,formula
Sacrifice,C01,30,0,1,summon,true,payoff,summon
Sacrifice,C02,46,0,2,summon,true,enabler,summon
Sacrifice,C03,38,0,1,summon,true,enabler,summon
Sacrifice,C04,32,0,1,summon,true,payoff,summon
Sacrifice,C05,26,8,1,summon,true,payoff,summon
Sacrifice,C06,8,22,1,,false,generic,summon
Sacrifice,W19,4,30,0,,false,generic,summon
Sacrifice,W01,20,0,1,,false,curve,summon
Sacrifice,LC1,38,0,0,summon,true,payoff,summon
Demon,C06,8,24,1,,false,generic,zero
Demon,C07,46,0,2,zero,true,curve,zero
Demon,C08,26,6,1,zero,true,payoff,zero
